Date,Water Area (km^2)
2016-09-10 08:00:00,2567.562206125147
2016-09-11 08:00:00,2469.7652700154904
2016-09-12 08:00:00,2374.449623618856
2016-09-13 08:00:00,2318.4037854099392
2016-09-14 08:00:00,2284.3664094146084
2016-09-15 08:00:00,2291.7560710862513
2016-09-16 08:00:00,2287.635768053666
2016-09-17 08:00:00,2237.2712639757747
2016-09-18 08:00:00,2137.6855874931634
2016-09-19 08:00:00,2026.7866991408644
2016-09-20 08:00:00,1896.8194915736349
2016-09-21 08:00:00,1784.1090937684658
2016-09-22 08:00:00,1701.1143865365495
2016-09-23 08:00:00,1626.0751053138092
2016-09-24 08:00:00,1559.7244537855697
2016-09-25 08:00:00,1505.523968816642
2016-09-26 08:00:00,1473.2561880065493
2016-09-27 08:00:00,1446.7829699474923
2016-09-28 08:00:00,1524.842099868508
2016-09-29 08:00:00,1591.8447550281899
2016-09-30 08:00:00,1688.982333598928
2016-10-01 08:00:00,1798.2941910934665
2016-10-02 08:00:00,1918.8715854243403
2016-10-03 08:00:00,1947.065710734265
2016-10-04 08:00:00,1947.413258823134
2016-10-05 08:00:00,1907.4587868637302
2016-10-06 08:00:00,1855.4412405711746
2016-10-07 08:00:00,1798.0855798775124
2016-10-08 08:00:00,1734.4658831802417
2016-10-09 08:00:00,1664.2477361696554
2016-10-10 08:00:00,1621.5658541822904
2016-10-11 08:00:00,1594.1461210031352
2016-10-12 08:00:00,1577.7066504562456
2016-10-13 08:00:00,1556.362007434511
2016-10-14 08:00:00,1528.4409947026134
2016-10-15 08:00:00,1499.9978977458554
2016-10-16 08:00:00,1475.0365270938462
2016-10-17 08:00:00,1457.9625114566302
2016-10-18 08:00:00,1456.2818578960903
2016-10-19 08:00:00,1457.4968414881587
2016-10-20 08:00:00,1448.343533774219
2016-10-21 08:00:00,1471.415105804543
2016-10-22 08:00:00,1539.8318538111218
2016-10-23 08:00:00,1607.431197592452
2016-10-24 08:00:00,1679.5154232192751
2016-10-25 08:00:00,1681.9361492494484
2016-10-26 08:00:00,1671.9416550779376
2016-10-27 08:00:00,1681.5952776128086
2016-10-28 08:00:00,1675.2315977895348
2016-10-29 08:00:00,1673.1146114311075
2016-10-30 08:00:00,1665.7299907474953
2016-10-31 08:00:00,1670.3493752015363
2016-11-01 08:00:00,1652.8952219602743
2016-11-02 08:00:00,1624.7845464076536
2016-11-03 08:00:00,1602.4985372988322
2016-11-04 08:00:00,1575.0619379090979
2016-11-05 08:00:00,1559.7301202669273
2016-11-06 08:00:00,1564.678778009358
2016-11-07 08:00:00,1629.7096265738212
2016-11-08 08:00:00,1622.6166966367139
2016-11-09 08:00:00,1633.8244394984436
2016-11-10 08:00:00,1631.466145384684
2016-11-11 08:00:00,1642.5012745650652
2016-11-12 08:00:00,1688.6053477348325
2016-11-13 08:00:00,1730.4742044516588
2016-11-14 08:00:00,1757.1102415880175
2016-11-15 08:00:00,1806.8795515461077
2016-11-16 08:00:00,1860.7916343272127
2016-11-17 08:00:00,1894.5022979856521
2016-11-18 08:00:00,1910.3751209205552
2016-11-19 08:00:00,1918.5466801774483
2016-11-20 08:00:00,1927.3714189430523
2016-11-21 08:00:00,1919.8221719551148
2016-11-22 08:00:00,1949.8262006254104
2016-11-23 08:00:00,1989.6415927343407
2016-11-24 08:00:00,2051.8045304851776
2016-11-25 08:00:00,2099.0407133891313
2016-11-26 08:00:00,2114.8774522438416
2016-11-27 08:00:00,2159.146947651148
2016-11-28 08:00:00,2233.916668018238
2016-11-29 08:00:00,2319.3004244420918
2016-11-30 08:00:00,2334.870951442723
2016-12-01 08:00:00,2309.4971562313217
2016-12-02 08:00:00,2239.357919997199
2016-12-03 08:00:00,2153.763403799941
2016-12-04 08:00:00,2068.1054080117765
2016-12-05 08:00:00,1989.8892106897688
2016-12-06 08:00:00,1912.6910731525998
2016-12-07 08:00:00,1840.1524739625663
2016-12-08 08:00:00,1772.0552061909411
2016-12-09 08:00:00,1708.3588657905893
2016-12-10 08:00:00,1654.0387065574475
2016-12-11 08:00:00,1618.0396254024906
2016-12-12 08:00:00,1618.088385175436
2016-12-13 08:00:00,1593.8438035003505
2016-12-14 08:00:00,1567.8763021986786
2016-12-15 08:00:00,1558.0771240679564
2016-12-16 08:00:00,1545.8006844782042
2016-12-17 08:00:00,1533.4646941090664
2016-12-18 08:00:00,1523.5151238639587
2016-12-19 08:00:00,1540.1225426024123
2016-12-20 08:00:00,1557.9620047931508
2016-12-21 08:00:00,1622.120326085255
2016-12-22 08:00:00,1585.1950821009896
2016-12-23 08:00:00,1559.0871309405602
2016-12-24 08:00:00,1550.9949728938975
2016-12-25 08:00:00,1578.7347304283378
2016-12-26 08:00:00,1557.341557974077
2016-12-27 08:00:00,1526.6976122365731
2016-12-28 08:00:00,1505.6869293168686
2016-12-29 08:00:00,1495.6411738582506
2016-12-30 08:00:00,1485.1182068448531
2016-12-31 08:00:00,1481.320515763506
2017-01-01 08:00:00,1477.7457837523184
2017-01-02 08:00:00,1476.4929963687694
2017-01-03 08:00:00,1474.5489680044238
2017-01-04 08:00:00,1476.681208232859
2017-01-05 08:00:00,1505.9767027746527
2017-01-06 08:00:00,1524.5422506146651
2017-01-07 08:00:00,1551.8718053822229
2017-01-08 08:00:00,1520.9501173174237
2017-01-09 08:00:00,1505.6814254903697
2017-01-10 08:00:00,1507.9480887254924
2017-01-11 08:00:00,1593.6782843833932
