X,Y,Emergence days
382787.225275,3212752.41695,157
382820.7562,3221551.5604,207
382848.259525,3218151.787525,165
382850.8238333333,3221353.6843666662,209
382857.74703333335,3229875.5505333333,219
382919.3878,3221830.9777666666,209
382934.4434,3214746.1472250004,170
382948.3997,3222066.5279000006,222
382958.27725,3214277.175275,169
382968.8392666667,3221663.5625,208
382974.83085,3218037.559525,171
383002.17992500006,3222241.641375,188
383030.83085,3218579.809525,164
383037.0546,3221260.2100333334,208
383051.32543333335,3221052.568833334,203
383054.6947666667,3221936.6117,210
383064.2281,3222449.145433333,1
383065.5237333333,3230216.7216,118
383087.6864,3213045.1220000004,165
383101.89155000006,3213396.9322500005,168
383110.013425,3213849.37415,168
383111.5705,3212788.077825,164
383164.0765,3221595.823033333,205
383168.626275,3214354.1148499995,167
383171.5,3219074.5,163
383196.0,3212440.0,164
383202.2242,3221390.3466,206
383204.08085,3218503.809525,169
383275.6761,3220878.9368,209
383286.310175,3219532.7179,162
383288.9349666666,3222187.258533334,78
383290.18845,3221811.876725,204
383310.4586,3213924.579475,165
383337.838625,3222417.570075,11
383345.0,3218981.75,166
383347.351675,3213472.94655,165
383355.67265,3213126.2583500003,164
383379.005425,3212872.412525,168
383397.7646333333,3222043.795433333,208
383400.0697666667,3221315.432733333,203
383433.560175,3219430.4679,164
383442.1249666666,3221101.3034666665,199
383442.8425,3219990.363275,161
383455.124,3230338.5092333336,152
383456.0,3212606.75,167
383513.8851333333,3221664.1804333334,204
383518.763875,3220605.781575,372
383548.08423333336,3221453.416966667,207
383585.310175,3219869.7179,162
383588.9246333333,3230729.1571333334,19
383619.0,3212200.5,163
383649.009925,3231890.136175,12
383654.5538,3221031.3027333333,382
383686.5345,3231451.3184333337,31
383691.9158333333,3221742.5560000003,206
383693.5305,3221982.98295,205
383717.2599666666,3230033.149966667,137
383717.9366666667,3220819.1064666663,468
383726.7287666667,3222222.370933333,65
383732.25,3212447.5,164
383745.1267333333,3221404.604766667,235
383793.5556333333,3233037.146466667,222
383828.8201666667,3220430.3755,199
383882.995025,3220262.638325,158
383894.539525,3221174.944275,633
383917.2901,3221586.4924000003,117
383948.4627,3220121.24295,163
384012.735975,3222245.5676,375
384039.308675,3220666.4738,419
384050.875775,3221956.19285,212
384065.9304333334,3230161.3510333337,178
384065.9635333333,3231215.461233333,107
384085.0853666666,3221743.3585,193
384094.52175,3230702.5598250004,286
384095.4794333333,3220933.4226333336,528
384127.2083333333,3221288.0043,602
384127.5284,3221454.296266667,535
384156.9365333333,3232876.9370000004,222
384177.125,3214709.375,162
384178.5,3212551.5,163
384184.9326666666,3232493.2127666664,381
384223.3879333334,3231832.802,82
384229.5,3212316.5,162
384246.3860333334,3221685.656200001,221
384269.8172666666,3221523.7817333336,525
384283.7970333334,3220975.4082333334,774
384285.128675,3215139.625225,161
384290.0040333333,3221187.9436333333,543
384298.0,3214327.75,162
384325.14017500007,3222363.079025,121
384335.7790666666,3221991.7016000003,201
384337.2562666666,3229886.3769666664,36
384351.375,3214707.125,161
384414.0395666666,3221451.2374333334,542
384422.413425,3215564.3105999995,160
384432.4006666667,3222144.7248333334,199
384434.5464000001,3221281.6913000005,729
384435.712,3221792.3418000005,205
384436.15210000006,3220069.349225,162
384453.3125333334,3220916.4324666667,442
384455.0,3214401.25,160
384463.011825,3220632.1368,280
384472.376225,3215098.54175,158
384491.657725,3215952.808625,160
384500.4627,3220212.74295,159
384516.8231666667,3221567.7911999994,254
384535.7266333333,3223570.006766666,218
384550.6968,3222493.5164,115
384555.8691666666,3222708.749533333,88
384559.513375,3231428.802775,214
384576.7762,3216330.711225,160
384588.0,3220357.6666666665,197
384593.253725,3232228.392475,77
384596.5513,3230588.0029666666,220
384615.804475,3215535.436875,160
384621.29775,3221151.457275,195
384660.0,3214014.375,164
384665.066825,3222268.8937,162
384674.4199,3216703.1186,161
384677.3734666666,3223098.3669,220
384687.2342666667,3221866.5804333333,209
384687.2902,3215937.66505,160
384690.4770333333,3221549.127633333,345
384724.9646,3212907.9714,163
384726.7802,3219841.08405,163
384735.9217,3222728.6809666664,205
384762.18359999993,3221375.1621333337,237
384763.0,3214144.125,160
384766.63095,3216316.808725,159
384777.4053666666,3222031.801333334,157
384777.455575,3217041.400775,160
384798.5957,3221711.590433333,209
384823.325725,3212643.051,163
384826.864325,3219555.198825,160
384839.6406,3222887.585233333,229
384845.953725,3216688.81045,159
384849.865275,3230065.54245,355
384858.0035666667,3230926.5021666666,219
384859.525175,3217395.59595,160
384866.289075,3219971.074825,161
384880.791775,3223334.524825,225
384906.6893,3219240.26,160
384916.754725,3217768.7823750004,161
384937.50140000007,3217048.382125,159
384951.779625,3218149.9824250005,162
384957.062225,3218884.418775,160
384958.5506,3221345.110966666,215
384966.882625,3218528.305675,161
384992.859675,3219639.987975,163
385017.1419,3221703.8450666666,202
385019.575525,3217413.787875,159
385025.7948,3222142.334025,147
385035.4366,3223750.568833334,224
385063.06795,3219286.78,161
385083.264175,3217787.3471250003,158
385086.5764333333,3223564.402966667,213
385105.3902333334,3221511.3311,201
385106.186675,3218916.2563499995,161
385118.77293333336,3221879.8268333334,209
385119.33885,3218165.9473,158
385125.64785,3218544.917075,160
385145.25,3213865.0,164
385175.818325,3231765.240375,342
385176.75,3214015.0,160
385225.5203,3213231.3039,166
385314.9246,3221477.5705,131
385344.4873,3230306.283366666,494
385368.24395,3212947.592575,164
385399.9947,3222115.2984,69
385404.3957,3221870.8154,205
385434.212925,3230853.15795,220
385469.4318333333,3221623.9682,354
385562.892875,3214059.48235,160
385593.64925,3167864.0472000004,208
385595.297625,3213910.160775,164
385595.670025,3213435.726025,165
385604.8457333333,3222164.1656333334,392
385623.8924666666,3231365.5882000006,499
385678.3093333333,3221571.614833334,355
385722.869925,3221974.159625,208
385744.66136666667,3230136.0486333333,324
385802.304325,3213213.1404250003,164
385858.057375,3221745.3785500005,211
385943.3940250001,3213658.2208,164
385954.142875,3214240.85735,158
385965.0100666666,3222122.203933333,354
386006.6692333333,3234796.4990666662,185
386017.047625,3214080.285775,159
386056.76426666667,3230340.0294,442
386062.6892,3235189.543,220
386077.8922,3231427.372466667,347
386092.338525,3221956.1856750003,207
386113.996825,3221602.310125,214
386130.955875,3230770.3936,215
386167.3861,3213518.34885,165
386170.25,3215056.0,165
386209.14783333335,3221789.178133333,216
386228.58115,3215673.4949,167
386233.875,3214626.875,165
386242.7797,3213932.827275,164
386304.104575,3214381.184775,165
386331.818475,3167593.69585,207
386353.0249,3231165.7704666667,452
