X,Y,Emergence days
385943.3940250001,3213658.2208,440
385954.142875,3214240.85735,428
385965.0100666666,3222122.203933333,167
386006.6692333333,3234796.4990666662,428
386017.047625,3214080.285775,428
386056.76426666667,3230340.0294,206
386062.6892,3235189.543,305
386077.8922,3231427.372466667,303
386092.338525,3221956.1856750003,341
386113.996825,3221602.310125,328
386130.955875,3230770.3936,314
386167.3861,3213518.34885,434
386170.25,3215056.0,428
386209.14783333335,3221789.178133333,340
386228.58115,3215673.4949,427
386233.875,3214626.875,430
386242.7797,3213932.827275,437
386304.104575,3214381.184775,429
386331.818475,3167593.69585,358
386353.0249,3231165.7704666667,411
386353.479575,3214193.059775,429
386367.174025,3222144.547425,383
386384.5058,3169002.354325,358
386418.5105,3234349.1496,466
386425.25,3215099.0,431
386438.12815,3221469.17075,333
386445.2165999999,3216244.6003,426
386457.96685,3221880.092675,378
386474.75,3213864.25,434
386488.512675,3215666.61355,430
386493.125,3214672.625,431
386509.884025,3230179.967675,228
386544.1502333333,3221669.9653666667,322
386577.987975,3214415.527725,431
386594.1534666666,3233321.0277,332
386597.9912666667,3222263.5114,24
386613.612975,3214192.652725,433
386699.812625,3216190.1745,430
386708.2427333333,3221965.414233333,278
386719.0605,3230658.4934250005,315
386750.41136666667,3221630.5761,325
386762.21935,3221373.795775,326
386770.00296666665,3233830.9123666664,570
386778.000625,3216647.045825,426
386831.687425,3231138.9854750005,327
386909.8635,3230088.4806333333,323
386929.13745,3221792.53375,163
386954.9168,3232559.1725,309
386981.76365,3231720.71505,171
387020.9380333333,3229748.6107666665,138
387035.1863750001,3216559.8191,430
387038.27406666667,3221355.16,331
387078.4141,3230562.315133333,311
387112.2987,3168712.581125,358
387114.33516666666,3230300.1856333334,318
387179.209775,3233001.689,298
387180.5459,3216989.9069000003,425
387210.1273666667,3233880.1867333334,182
387224.852425,3170103.811,357
387242.653225,3221550.535025,327
387243.36833333335,3232209.5786,547
387263.052,3231002.307466667,316
387323.0768666666,3230710.6585000004,315
387397.3581666667,3233419.4398,319
387435.66290000005,3216871.41495,430
387437.64756666665,3221686.8282333333,261
387503.780025,3231348.8474250003,308
387506.651125,3230153.735975,199
387537.347,3225578.647325,538
387540.2128,3230558.6152333333,333
387576.72855,3225225.4110000003,265
387589.064175,3217327.6434,426
387615.8331,3224952.1207333338,257
387723.024975,3221722.6649750005,306
387770.6066333333,3233391.0144,345
387772.5582333333,3225640.421366667,486
387816.5149,3232781.4694333337,310
387829.1109,3217193.128025,429
387835.5921,3231696.117,317
387853.344975,3232264.030425,465
387865.4642,3230630.0624666666,251
387894.547925,3224903.365275,286
387906.10986666667,3225499.1645666664,550
387906.698,3230952.877466667,311
387918.555425,3225250.0701750005,304
387966.0144666666,3230060.019333333,8
387970.1061,3171262.194475,356
387973.666725,3169769.0311,356
387983.9378,3217680.8691,432
388014.4246,3221805.509366667,330
388049.61596666666,3233035.5235666665,312
388112.696775,3222040.1039250004,362
388123.5116333333,3230362.3567,101
388148.5683666666,3224864.382833333,267
388190.029075,3225519.905475,131
388200.940975,3217539.8143,431
388258.3266333334,3231035.470666667,319
388262.7941,3222360.017225,223
388287.17915,3225238.5020000003,305
388330.6340333333,3225003.9598,282
388346.975575,3229687.193175,2
388367.6371666666,3222642.9681,417
388369.53105,3218044.5022,433
388411.86602500005,3231452.6862,310
388449.223375,3221960.334225,338
388462.7499,3222234.268433334,405
388484.0172,3232243.6393666663,266
388528.683125,3172523.479225,356
388546.27925,3225541.654275,309
388554.4786333333,3222720.174966667,283
388568.45495,3217891.7344,430
388572.06905,3230560.01815,257
388580.5781666667,3225281.0854666666,268
388622.510375,3233053.2374,282
388632.261,3222278.392866667,491
388673.406975,3222981.919775,291
388688.4265333333,3231844.5774000003,266
388691.48816666665,3222582.779033333,327
388695.8215,3222408.4457,329
388720.5519,3170886.283825,357
388761.60145,3222039.604975,327
388762.0379333333,3230017.3994333334,143
388763.96765,3218398.316,427
388788.79503333336,3232529.5572333336,371
388841.34996666666,3225857.4266333333,158
388854.3333333333,3222593.6666666665,326
388858.6666666667,3222419.333333333,332
388882.7888,3221811.2104333336,317
388886.940675,3223250.157575,162
388887.399925,3225581.582075,206
388956.23762500007,3218220.025075,431
388973.542925,3222754.675325,308
388984.1582333334,3222356.373533333,369
388990.0444666667,3222186.6573000005,161
388995.0074666667,3226182.1179000004,18
388995.28513333335,3231182.719,344
388998.1491666666,3226791.8585,14
389018.8508333333,3230812.8197333333,328
389083.819,3227523.705266667,11
389084.670575,3225907.06705,183
389096.826275,3173778.499175,353
389110.05555,3223528.390625,158
389113.74306666665,3222487.8783333334,318
389134.0956666667,3225644.094766666,155
389155.5212,3226306.0313666663,41
389158.37343333336,3223124.7032666667,330
389160.58683333336,3222907.8401,311
389164.065,3226532.523666667,29
389172.98115,3218735.6960000005,430
389191.428725,3221791.052300001,311
389201.818675,3172146.955875,356
389234.3904,3232409.8452000003,268
389262.3516666666,3228786.796033333,14
389265.99015,3227040.4672250003,12
389277.911775,3222134.1564,313
389284.5052333333,3229509.6854333333,133
389293.006225,3231895.87675,317
389296.372675,3223831.6761000003,316
389317.5976,3225968.8365,209
389321.7404666666,3231356.4148,322
389328.776125,3230060.80075,402
389339.938875,3222493.5693,331
389340.5628333333,3226195.7865,276
389353.929375,3233238.422425,332
389355.3554666667,3222789.342466667,146
389358.48485,3218531.4678,431
389360.93545,3225549.053875,337
389363.791925,3223311.29795,317
389375.34246666665,3226663.961066667,13
389407.3804666667,3230598.124533333,328
389464.199925,3224152.74805,322
389488.186625,3227945.1599,13
389509.0061666667,3232717.7734333333,265
389521.906775,3225864.09815,303
389546.3149,3223498.2783666663,319
389554.05825,3222992.86285,287
389572.0844666667,3226547.446833333,63
389590.4638,3226227.011175,369
389592.482275,3219057.6281250003,430
389604.392775,3223760.2985,316
389605.274725,3224481.6105,308
389614.61216666666,3225452.400866667,338
389615.68493333337,3225251.2554333336,374
389631.5627333333,3228886.3922,56
389648.5334,3227087.7397000003,34
389670.663475,3173417.82055,356
389691.200025,3224829.046775,302
389692.58026666666,3224030.2155333334,314
389712.4367333334,3231211.9073666665,396
389741.9670333334,3225790.212166667,60
389751.8907333333,3225120.349,162
389761.570325,3223282.8164,309
389764.91865,3218836.602975,432
389771.0459333333,3225575.1587,328
389774.5110333334,3230823.516366666,359
389809.62675,3229375.006825,251
389821.7178666667,3226176.2979666665,339
389862.3413333333,3225939.1317,496
389867.5569,3226695.308475,202
389868.7583666667,3223693.0799,308
389871.5515333333,3230089.6183666666,339
389873.96685,3174914.493675,355
389928.9027,3223485.092366666,309
389938.4066333333,3228691.9092,29
389940.4996,3225148.768566666,381
389942.9952,3232675.0582333333,277
389943.8085,3224773.150733333,323
389950.37353333336,3228316.9015,27
389965.2723666667,3225519.030966667,286
389969.5418333334,3226339.0152333328,334
390000.955975,3231895.739825,189
390006.233875,3227442.49455,346
390036.1110333333,3225905.7479666662,321
390040.18686666666,3229779.4042666666,263
390041.3559666667,3231430.7519666664,298
390045.8864,3225326.5373333334,287
390047.46715,3219321.632825,427
390052.298775,3233560.844775,77
390055.5949,3224956.6547333337,334
390135.1261666667,3232329.518166667,267
390184.332775,3230508.538275,289
390199.314,3219096.13995,433
390202.9446,3233025.9770666664,309
390203.141125,3225678.6211,217
390232.086,3226171.407325,355
390236.6017666667,3226759.7304,332
390268.78636666667,3224952.4086,339
390275.8873,3225310.035466667,156
390315.4337,3228160.442433333,21
390352.617,3229058.1074499995,28
390383.69196666667,3225128.020566667,183
390384.69916666666,3225466.7917333334,24
390390.7651,3227057.3504333333,363
390403.70675,3174548.1823,355
390429.9335666667,3227768.641133333,50
390443.1441,3226470.7560666665,314
390446.75490000006,3231258.7208,249
390476.9773,3229796.9876666665,314
390514.30953333335,3230886.391366666,613
390516.945675,3225900.87495,316
390536.483325,3219525.202175,425
390567.0467333333,3230116.719566666,331
390583.6796666667,3232301.5509,381
390608.03050000005,3225481.4990666662,14
390610.9076333333,3225115.667666666,19
390615.889075,3175952.711975,356
390641.57396666665,3233002.862766667,316
390666.7514,3219294.069775,433
390680.21433333337,3229488.9831333333,234
